Acre,AC,164123964
Alagoas,AL,27843295
Amapá,AP,142470762
Amazonas,AM,1559167889
Bahia,BA,564760427
Ceará,CE,148894441
Distrito Federal,DF,5760783
Espiríto Santo,ES,46074447
Goiás,GO,340203329
Maranhão,MA,329642182
Mato Grosso,MT,903207019
Mato Grosso do Sul,MS,357145534
Minas Gerais,MG,586521123
Pará,PA,1245870798
Paraíba,PB,56467242
Paraná,PR,199298979
Pernambuco,PE,98067881
Piauí,PI,251756515
Rio de Janeiro,RJ,43750427
Rio Grande do Norte,RN,52809602
Rio Grande do Sul,RS,281707156
Rondônia,RO,237765240
Roraíma,RR,223644527
Santa Catarina,SC,95730684
São Paulo,SP,248219481
Sergipe,SE,21925424
Tocantins,TO,277466763
